effective_date,event_id,event_name,description,rate_component,affected_countries,section_ref
2025-01-01,baseline_hts,Baseline HTS rates in effect,Pre-existing MFN tariff rates under the Harmonized Tariff Schedule apply to all imports.,hts,ALL,2
2025-01-01,s232_steel_10pct,S232 steel tariff at 10%,Section 232 steel tariff in effect at 10% on steel products. Country exemptions apply for select partners.,s232,ALL,3.4
2025-01-01,s232_alu_10pct,S232 aluminium tariff at 10%,Section 232 aluminium tariff in effect at 10% on aluminium products. Country exemptions apply for select partners.,s232,ALL,3.5
2025-02-04,chn_opioid_10pct,China synthetic opioid emergency (10%),Emergency tariff of 10% imposed on China and Hong Kong under IEEPA authority citing fentanyl crisis.,emergency,CHN:HKG,5.1
2025-03-04,chn_opioid_20pct,China opioid emergency increased to 20%,China synthetic opioid emergency tariff doubled from 10% to 20%.,emergency,CHN:HKG,5.1
2025-03-04,can_northern_border,Canada northern border emergency,Emergency tariffs imposed on Canada: 25% on non-energy goods and 10% on energy products citing northern border security.,emergency,CAN,5.2
2025-03-04,mex_emergency_25pct,Mexico emergency tariff (25%),Emergency tariff of 25% imposed on all Mexican imports under IEEPA authority.,emergency,MEX,5.3
2025-03-12,s232_steel_25pct,S232 steel increased to 25%,Section 232 steel tariff doubled from 10% to 25%. Country exemptions revoked for all partners.,s232,ALL,3.4
2025-03-12,s232_alu_25pct,S232 aluminium increased to 25%,Section 232 aluminium tariff doubled from 10% to 25%. Country exemptions revoked for all partners.,s232,ALL,3.5
2025-04-02,bra_annex_exceptions,Brazil Annex exceptions activated,Product-specific exceptions from IEEPA top-up for Brazil activated covering select agricultural and industrial goods.,ieepa,BRA,7.2
2025-04-02,ieepa_aircraft_exception,WTO aircraft agreement exception pre-positioned,Civil aircraft products covered by the WTO Agreement on Trade in Civil Aircraft excluded from IEEPA tariffs. Activated alongside IEEPA baseline on April 5.,ieepa,ALL,4.5
2025-04-02,ieepa_pharma_exception,Pharmaceutical agreement exception pre-positioned,Pharmaceutical products covered by WTO agreements excluded from IEEPA tariffs. Activated alongside IEEPA baseline on April 5.,ieepa,ALL,4.5
2025-04-02,cafta_dr_exception,CAFTA-DR exception pre-positioned,Products covered by CAFTA-DR schedules excluded from IEEPA tariffs for eligible Central American partners.,ieepa,ALL_EXCEPT:CHN:HKG:CAN:MEX,4.5
2025-04-03,s232_auto_25pct,S232 automobiles tariff (25%),Section 232 tariff of 25% imposed on passenger vehicles and light trucks.,s232,ALL,3.1
2025-04-04,s232_alu_derivative_expansion,S232 aluminium derivative scope expanded,Aluminium derivative products added to Section 232 scope at derivative incidence rates.,s232,ALL,3.5
2025-04-05,ieepa_baseline_10pct,Universal IEEPA baseline activated (10%),Universal 10% IEEPA baseline tariff applied to nearly all imports from all countries (except Canada and Mexico which face emergency rates).,ieepa,ALL_EXCEPT:CAN:MEX,4.1
2025-04-05,ieepa_annex2_v1,Annex 2 product exceptions activated,First tranche of Annex 2 product exceptions from IEEPA tariffs activated covering select intermediate goods.,ieepa,ALL,4.4
2025-04-05,ieepa_semiconductor_exception,Semiconductor exception activated,Semiconductors excluded from IEEPA tariffs.,ieepa,ALL,4.4
2025-04-05,ieepa_statutory_exception,Statutory IEEPA exceptions activated,Products with statutory exemptions from IEEPA authority excluded from tariffs.,ieepa,ALL,4.5
2025-04-09,chn_ieepa_topup_74pp,China IEEPA reciprocal top-up (74pp),China-specific IEEPA reciprocal top-up of 74 percentage points activated on top of the 10% baseline.,ieepa,CHN:HKG,4.2
2025-04-10,chn_ieepa_topup_115pp,China IEEPA top-up increased to 115pp,China-specific IEEPA reciprocal top-up increased from 74pp to 115pp.,ieepa,CHN:HKG,4.2
2025-05-13,chn_ieepa_topup_0pp,China IEEPA top-up reduced to 0pp (Geneva deal),China-specific IEEPA reciprocal top-up reduced to 0pp following the Geneva trade agreement.,ieepa,CHN:HKG,4.2
2025-06-04,s232_steel_50pct,S232 steel increased to 50%,Section 232 steel tariff increased from 25% to 50%.,s232,ALL,3.4
2025-06-04,s232_alu_50pct,S232 aluminium increased to 50%,Section 232 aluminium tariff increased from 25% to 50%.,s232,ALL,3.5
2025-06-23,s232_steel_derivative_expansion,S232 steel derivative scope expanded,Additional steel derivative products added to Section 232 scope.,s232,ALL,3.4
2025-06-30,uk_prosperity_deal,UK Economic Prosperity Deal,UK bilateral deal establishing a 10% ceiling on auto/PV parts and 25% cap on steel/aluminium (within quota).,ieepa:s232,GBR,7.3
2025-08-01,s232_copper_50pct,S232 copper tariff activated (50%),Section 232 tariff of 50% imposed on copper products.,s232,ALL,3.6
2025-08-01,s232_lumber_scope_loaded,S232 lumber product scope pre-loaded,Lumber product scope definitions loaded into Section 232 framework (tariff rates activated October 14).,s232,ALL,3.7
2025-08-01,s232_mhdv_scope_loaded,S232 MHDV product scope pre-loaded,Medium and heavy-duty vehicle product scope loaded into Section 232 framework (tariff rates activated November 1).,s232,ALL,3.2
2025-08-01,can_energy_increase,Canada energy emergency rate increased,Canada northern border energy tariff component updated with expanded energy product scope.,emergency,CAN,5.2
2025-08-06,bra_topup_40pp,Brazil IEEPA top-up (40pp),Brazil-specific additional IEEPA top-up of 40 percentage points activated.,ieepa,BRA,7.2
2025-08-09,ieepa_reciprocal_topups,Country-specific IEEPA reciprocal top-ups,Country-specific IEEPA reciprocal top-ups activated for approximately 80 countries at varying rates (5-30pp depending on country).,ieepa,ALL_EXCEPT:CAN:MEX:CHN:HKG:BRA,4.2
2025-08-18,s232_steel_alu_scope_expanded,S232 steel/aluminium derivative scope expanded,Additional steel and aluminium derivative products added to Section 232 scope.,s232,ALL,3.4
2025-08-27,ind_rus_surcharge_25pp,India/Russia additional surcharge (25pp),Additional surcharge of 25 percentage points imposed on India and Russia.,surcharge,IND:RUS,7.1
2025-09-01,eu_deal,EU bilateral deal,EU deal establishing 15% IEEPA and S232 floor rates with pharmaceutical exceptions and expanded product exception list.,ieepa:s232,EU_MEMBERS,7.5
2025-09-05,ieepa_annex2_v2,IEEPA Annex 2 expanded (September),Second tranche of Annex 2 product exceptions from IEEPA tariffs activated.,ieepa,ALL,4.4
2025-09-16,jpn_deal,Japan bilateral deal,Japan deal establishing 15% IEEPA and S232 floor rates with lumber derivative provisions.,ieepa:s232,JPN,7.4
2025-10-14,s232_lumber_activated,S232 lumber tariff activated (10-25%),Section 232 lumber tariff activated at base rate of 10% with 25% on cabinet/vanity and upholstered furniture derivatives.,s232,ALL,3.7
2025-10-14,deal_lumber_derivatives,Deal partner lumber derivative rates,UK receives 10% lumber derivative rate; Japan and EU receive 15% lumber derivative rates under their bilateral deals.,s232,GBR:JPN:EU_MEMBERS,7.3
2025-11-01,s232_mhdv_25pct,S232 MHDV tariff activated (25%),Section 232 tariff of 25% imposed on medium and heavy-duty vehicles and parts.,s232,ALL,3.2
2025-11-01,s232_pv_parts_25pct,S232 PV/light truck parts tariff (25%),Section 232 tariff of 25% imposed on passenger vehicle and light truck parts.,s232,ALL,3.3
2025-11-10,chn_opioid_reduced_10pct,China opioid emergency reduced to 10%,China synthetic opioid emergency tariff reduced from 20% back to 10%.,emergency,CHN:HKG,5.1
2025-11-13,ieepa_annex2_v3,IEEPA Annex 2 expanded (November),Third tranche of Annex 2 product exceptions from IEEPA tariffs activated.,ieepa,ALL,4.4
2025-11-13,bra_exceptions_expanded,Brazil product exceptions expanded,Additional product-specific exceptions from IEEPA top-up for Brazil activated.,ieepa,BRA,7.2
2025-11-14,kor_deal,Korea bilateral deal,Korea deal establishing 15% IEEPA and S232 floor rates for automobiles with lumber derivative provisions and aircraft exceptions.,ieepa:s232,KOR,7.6
2025-11-14,che_deal,Switzerland/Liechtenstein bilateral deal,Switzerland and Liechtenstein deal establishing 15% IEEPA floor rate with pharma exceptions and product-specific exceptions.,ieepa,CHE:LIE,7.7
